ID,ID2,Office,Address,TEL,FAX,Email,URL,Work
K03,川南,川崎南地域福祉事業所 みっぱ保育園,〒210-0814 神奈川県川崎市川崎区台町8-18 サンルミエール102,044-333-5515,044-328-7246,kawasaki-minami@roukyou.gr.jp,http://ktfjtack.roukyou.gr.jp,川崎南事業所 みっぱ保育園
C02,川南,川崎南事業所,〒210-0814 神奈川県川崎市川崎区台町8-18 サンルミエール102,044-333-5515,044-328-7246,kawasaki-minami@roukyou.gr.jp,,川崎協同病院／大師診療所等
K05,医協,医療生協かながわ保育室ぴーす,〒210-0833 神奈川県川崎市川崎区桜本2-1-22 協同こどもクリニック2F,044-280-4117,044-280-4119,takenoko@roukyou.gr.jp,http://www.scn-net.ne.jp/~h_seibu/,医療生協かながわ保育室ぴーす
K04,川市,川崎市ふれあい子育てサポート タック,〒211-0051 神奈川県川崎市中原区宮内2-15-15,044-740-3950,044-740-3970,ktfjtack@roukyou.gr.jp,http://ktfjtack.roukyou.gr.jp,川崎市ふれあい子育てサポート タック
E01,TACK,TACK,〒211-0051 神奈川県川崎市中原区宮内2-15-15,044-740-3950,044-740-3970,ktfjtack@roukyou.gr.jp,,通所介護・訪問介護・居宅支援・介護予防
K01,ウキ,ウキウキファイブ,〒213-0032 神奈川県川崎市高津区久地4-13-3 タイヘイビル204号,044-812-3844,044-812-3845,kwsk1j@roukyou.gr.jp,,放課後教室ウキウキファイブ
C01,川事,川崎事業所,〒213-0032 神奈川県川崎市高津区久地4-13-3 タイヘイビル204号,044-812-3844,044-812-3845,kwsk1j@roukyou.gr.jp,,生田緑地／夢見ヶ先動植物公園／緑地等
P04,横霧,横浜市霧が丘コミュニティハウス,〒226-0016 神奈川県横浜市緑区霧が丘3-23,045-922-2100,045-922-0050,ikkyu@roukyou.gr.jp,,生活自立支援
K09,森台,森の台キッズルーム,〒226-0029 神奈川県横浜市緑区森の台19-1,045-932-3095,045-932-3095,,http://m-kids.roukyou.gr.jp/,横浜みどり事業所（森の台キッズルーム）
K10,奈小,奈良小キッズクラブ,〒227-0036 神奈川県横浜市青葉区奈良町1541-2,045-962-7152,045-962-7152,houtoku1188@gmail.com,,横浜あおば事業所（奈良小キッズクラブ）
H01,事本,ワーカーズコープ 神奈川事業本部,〒231-0045 神奈川県横浜市中区伊勢佐木町2丁目66番 満利屋ビル8F,045-341-4192,045-260-5558,kngwb@roukyou.gr.jp,,ワーカーズコープ 神奈川事業本部
P09,三浦,三浦事業所,〒238-0224 神奈川県三浦市三崎町諸礒1870,046-882-6788,046-882-6782,miura@roukyou.gr.jp,http://miuraroufuku.roukyou.gr.jp/,指定管理者
P03,横権,横浜市権太坂コミュニティハウス,〒240-0026 神奈川県横浜市保土ヶ谷区権太坂3-1-1 権太坂スクエアA棟1F,045-713-6625,045-713-6695,gontazaka_c@roukyou.gr.jp,http://gontazaka_c.roukyou.gr.jp,指定管理者
P10,権坂,権太坂コミュニティハウス,〒240-0026 神奈川県横浜市保土ヶ谷区権太坂3-1-1 権太坂スクエアA棟1F,045-713-6625,045-713-6695,gontazaka_c@roukyou.gr.jp,http://gontazaka_c.roukyou.gr.jp,指定管理者
P01,常台,常盤台コミュニティハウス,〒240-0067 神奈川県横浜市保土ヶ谷区常盤台53-2,045-348-8277,045-348-8288,tokiwdai-ch@space.ocn.ne.jp,http://tokiwadai-ch.roukyou.gr.jp,指定管理者
P02,上白,上白根コミュニティハウス,〒241-0002 神奈川県横浜市旭区上白根233-6,045-954-1691,045-954-1692,info@y-kamisiranech,http://kamishirane-ch.roukyou.gr.jp/,指定管理者
